code_insee,commune,region,population_2023,part_65_plus_pct,revenu_median_uc,loyer_m2,nb_audioprothesistes_2022,nb_audioprothesistes_2026,nb_orl_liberaux_2026,lat,lon,dist_audio_km,score_v2,sans_audio_5k,prioritaire_v2,apl,equipee
14371,Livarot-Pays-d'Auge,28 - Normandie,6207,24.56,23190.0,9.19062001583693,0.0,0,0,48.99932534722223,0.2117224999999999,8.7,33186.20202266533,True,True,51.63134582879734,0
14431,Mézidon Vallée d'Auge,28 - Normandie,9766,20.11,23660.0,9.55418339762312,0.0,3,0,49.08331479365079,-0.0036409841269841,0.0,29028.654851007846,False,False,70.00999375167225,1
14514,Pont-l'Évêque,28 - Normandie,5145,28.07,24220.0,13.1181818739885,0.0,2,0,49.28092541666666,0.1891083333333333,0.0,29859.391428548774,False,False,67.19225628667498,1
14654,Saint-Pierre-en-Auge,28 - Normandie,7100,27.13,23130.0,8.79713329991794,0.0,1,0,48.994828936170215,0.0261990212765957,0.0,31024.85245036608,False,False,58.05435314217414,1
14726,Valdallière,28 - Normandie,5696,20.85,23750.0,8.69004469987147,0.0,0,0,48.85696778761061,-0.7352858407079645,11.0,33482.744193806146,True,True,63.010129976230125,0
14762,Vire Normandie,28 - Normandie,17457,28.32,24040.0,9.26885331229376,0.0,11,3,48.81466186440678,-0.8706042372881356,0.0,28547.893082537008,False,False,66.76082059652947,1
16154,Gond-Pontouvre,75 - Nouvelle-Aquitaine,5862,25.08,24360.0,11.0292480073542,0.0,0,0,45.67923476190476,0.1664816666666667,3.2,30670.091003329828,True,False,81.11466012614925,0
16166,L'Isle-d'Espagnac,75 - Nouvelle-Aquitaine,5682,29.34,25300.0,10.4651165088906,0.0,0,0,45.66383400000001,0.1976377142857142,2.7,30658.054047725767,True,False,84.66526485256044,0
16291,Ruelle-sur-Touvre,75 - Nouvelle-Aquitaine,7408,26.59,25400.0,10.0345018419083,0.0,0,0,45.6841670967742,0.2326222580645161,4.8,31225.85376843279,True,False,75.14261847558315,0
17142,Dompierre-sur-Mer,75 - Nouvelle-Aquitaine,6315,26.5,28900.0,16.0151111043015,0.0,0,0,46.18573309090908,-1.0638341818181818,3.5,31568.68689911224,True,False,99.82566154675013,0
17219,Marennes-Hiers-Brouage,75 - Nouvelle-Aquitaine,6163,36.55,24560.0,11.0994409660463,0.0,3,0,45.82318893939394,-1.1096810606060603,0.0,30165.47253072269,False,False,73.0625702034416,1
17299,Rochefort,75 - Nouvelle-Aquitaine,23460,29.15,23220.0,12.2129573218829,0.0,14,1,45.94605627118644,-0.9698125423728812,0.0,27978.30260320209,False,False,79.55533216650387,1
17333,Saint-Georges-de-Didonne,75 - Nouvelle-Aquitaine,5092,55.25,28660.0,13.4988380428414,0.0,0,0,45.60135290322581,-0.9853354838709676,4.2,34543.06492277557,True,True,61.82983090298982,0
17407,Sainte-Soulle,75 - Nouvelle-Aquitaine,5034,17.62,28190.0,16.0759432381106,0.0,0,0,46.18999227272727,-1.008278484848485,7.0,31963.59383263904,True,True,83.3753469367944,0
17414,Saint-Xandre,75 - Nouvelle-Aquitaine,5677,25.54,28370.0,14.1115515128686,0.0,0,0,46.21278907692308,-1.0976346153846153,3.1,31122.313144328236,True,False,100.94330563831062,0
17449,Tonnay-Charente,75 - Nouvelle-Aquitaine,8289,26.93,24570.0,11.6902562099181,0.0,0,0,45.963624204545454,-0.8739527272727272,7.7,32621.325422744358,True,True,72.86784899651813,0
18205,Saint-Doulchard,24 - Centre-Val de Loire,9647,28.8,28200.0,10.2563088993427,0.0,3,5,47.10569419753087,2.355308395061728,0.0,31303.21739324126,False,False,67.82305590211702,1
18207,Saint-Florent-sur-Cher,24 - Centre-Val de Loire,6463,28.68,23860.0,8.82356849831913,0.0,0,0,46.98976120689655,2.2590067241379312,14.4,35593.67827372505,True,True,48.2239318820118,0
19229,Saint-Pantaléon-de-Larche,75 - Nouvelle-Aquitaine,5091,22.53,25720.0,11.9147358553451,0.0,0,0,45.14950051948051,1.4318453246753249,6.9,31798.36040419945,True,True,92.83749416268124,0
