rang,commune,region,population,part_65_plus_pct,nb_audioprothesistes_2022,score,desert_5000,prioritaire
2961,Briant,27 - Bourgogne-Franche-Comté,226,36.4,0,38399.78841923108,False,False
2962,Lannemaignan,76 - Occitanie,107,31.1,0,38399.087916351586,False,False
2963,Lamanère,76 - Occitanie,52,50.9,0,38398.64066212885,False,False
2964,Plonévez-du-Faou,53 - Bretagne,2106,29.6,0,38398.22838246482,False,False
2965,Fabrezan,76 - Occitanie,1273,30.1,0,38397.97904127191,False,False
2966,Carnoët,53 - Bretagne,651,27.3,0,38397.82218745353,False,False
2967,Sorbs,76 - Occitanie,36,51.3,0,38397.10215519558,False,False
2968,Londigny,75 - Nouvelle-Aquitaine,252,27.0,0,38397.06758019044,False,False
2969,Marsac,76 - Occitanie,181,40.3,0,38396.80367408069,False,False
2970,Levie,94 - Corse,667,31.6,0,38396.65737886579,False,False
2971,Marignana,94 - Corse,109,50.0,0,38396.435232616175,False,False
2972,Massiac,84 - Auvergne-Rhône-Alpes,1771,32.6,0,38395.83254976119,False,False
2973,Cunlhat,84 - Auvergne-Rhône-Alpes,1275,29.3,0,38395.472246072015,False,False
2974,Champlemy,27 - Bourgogne-Franche-Comté,328,34.5,0,38395.43874671103,False,False
2975,Tourtour,93 - Provence-Alpes-Côte d'Azur,583,34.8,0,38394.90538177969,False,False
2976,Revin,44 - Grand Est,6038,25.1,2,38394.71459480286,False,False
2977,Montereau-Fault-Yonne,11 - Île-de-France,20712,15.0,3,38394.55886114453,False,False
2978,Saint-Félix-de-Sorgues,76 - Occitanie,201,34.3,0,38394.293797201615,False,False
2979,Cherval,75 - Nouvelle-Aquitaine,263,37.1,0,38394.143479346,False,False
2980,Sainte-Croix,32 - Hauts-de-France,133,38.6,0,38394.03959166213,False,False
2981,Banon,93 - Provence-Alpes-Côte d'Azur,999,33.8,0,38393.87602114652,False,False
2982,Réquista,76 - Occitanie,1994,34.1,1,38393.84434407545,False,False
2983,Jaligny-sur-Besbre,84 - Auvergne-Rhône-Alpes,563,34.5,0,38393.77947670136,False,False
2984,Saurat,76 - Occitanie,640,27.8,0,38393.51896161641,False,False
2985,Beuil,93 - Provence-Alpes-Côte d'Azur,538,30.9,0,38393.497305188495,False,False
2986,Monestier,84 - Auvergne-Rhône-Alpes,281,29.5,0,38393.463204125495,False,False
2987,Garde-Colombe,93 - Provence-Alpes-Côte d'Azur,530,31.2,0,38393.431333054345,False,False
2988,Saint-Igny-de-Vers,84 - Auvergne-Rhône-Alpes,577,39.0,0,38392.98773899682,False,False
2989,Nanthiat,75 - Nouvelle-Aquitaine,237,34.6,0,38392.78784171008,False,False
2990,La Chapelle-Montmoreau,75 - Nouvelle-Aquitaine,70,51.4,0,38392.65641720785,False,False
2991,Bantheville,44 - Grand Est,116,26.2,0,38392.144214078435,False,False
2992,Aspet,76 - Occitanie,877,32.4,0,38391.118848043836,False,False
2993,Saint-Sylvestre-sur-Lot,75 - Nouvelle-Aquitaine,2310,33.2,0,38390.92017755926,False,False
2994,Saint-Astier,75 - Nouvelle-Aquitaine,223,26.0,1,38390.627054858174,False,False
2995,Beaumontois en Périgord,75 - Nouvelle-Aquitaine,1853,33.9,0,38390.62122737684,False,False
2996,Puy-Saint-Gulmier,84 - Auvergne-Rhône-Alpes,154,29.0,0,38390.534423941004,False,False
2997,Montmirey-la-Ville,27 - Bourgogne-Franche-Comté,174,43.2,0,38390.51864480124,False,False
2998,Cussy-le-Châtel,27 - Bourgogne-Franche-Comté,113,39.0,0,38389.98434122629,False,False
2999,Le Gua,75 - Nouvelle-Aquitaine,2099,30.8,0,38389.58367822924,False,False
3000,Saint-Robert,75 - Nouvelle-Aquitaine,297,37.9,0,38389.295127633195,False,False
3001,Le Quillio,53 - Bretagne,556,37.5,0,38389.29304198025,False,False
3002,Madranges,75 - Nouvelle-Aquitaine,192,42.0,0,38389.17527455315,False,False
3003,Messeix,84 - Auvergne-Rhône-Alpes,1048,31.3,0,38389.130174357146,False,False
3004,Lamothe-Fénelon,76 - Occitanie,301,36.2,0,38388.62676435642,False,False
3005,Argens-Minervois,76 - Occitanie,348,32.2,0,38388.54187152648,False,False
3006,Moncoutant-sur-Sèvre,75 - Nouvelle-Aquitaine,5046,25.9,0,38388.00231034236,True,True
3007,Saint-Benoît-de-Carmaux,76 - Occitanie,2129,26.3,0,38387.872707464114,False,False
3008,Mamers,52 - Pays de la Loire,5231,31.0,2,38387.78640159197,False,False
3009,Pré-en-Pail-Saint-Samson,52 - Pays de la Loire,2311,29.5,0,38387.600658594885,False,False
3010,Avèze,76 - Occitanie,1081,29.8,0,38387.325914133944,False,False
3011,Le Muy,93 - Provence-Alpes-Côte d'Azur,9281,24.2,1,38386.594686316595,False,False
3012,Belpech,76 - Occitanie,1295,30.6,0,38386.29674600598,False,False
3013,Genneton,75 - Nouvelle-Aquitaine,322,27.3,0,38386.102175384854,False,False
3014,Bellefond,75 - Nouvelle-Aquitaine,223,30.5,0,38385.80350286027,False,False
3015,Landelles-et-Coupigny,28 - Normandie,846,29.8,0,38385.24843580675,False,False
3016,Tourreilles,76 - Occitanie,129,29.8,0,38385.12088400397,False,False
3017,Bubry,53 - Bretagne,2346,30.5,0,38385.09044195337,False,False
3018,Saint-Maurice-aux-Riches-Hommes,27 - Bourgogne-Franche-Comté,421,40.9,0,38384.85882701715,False,False
3019,Échourgnac,75 - Nouvelle-Aquitaine,392,32.0,0,38384.84792871613,False,False
3020,Pruno,94 - Corse,179,25.7,0,38384.622613128784,False,False
3021,Couleuvre,84 - Auvergne-Rhône-Alpes,589,30.0,0,38384.45482237372,False,False
3022,Gex,84 - Auvergne-Rhône-Alpes,13093,10.1,0,38384.3964021341,True,True
3023,Saint-Santin-Cantalès,84 - Auvergne-Rhône-Alpes,303,26.2,0,38384.37603816463,False,False
3024,Bresdon,75 - Nouvelle-Aquitaine,219,35.1,0,38384.26150143843,False,False
3025,Pierrefitte,75 - Nouvelle-Aquitaine,329,30.1,0,38384.222745972715,False,False
3026,Ispoure,75 - Nouvelle-Aquitaine,673,37.7,0,38383.498197579305,False,False
3027,Segonzac,75 - Nouvelle-Aquitaine,222,26.9,0,38383.297772045364,False,False
3028,La Petite-Marche,84 - Auvergne-Rhône-Alpes,172,30.1,0,38383.12081574051,False,False
3029,Varenne-l'Arconce,27 - Bourgogne-Franche-Comté,115,35.0,0,38382.936858621,False,False
3030,Lavit,76 - Occitanie,1607,31.6,0,38382.53343013756,False,False
3031,Saint-Crespin,28 - Normandie,302,39.7,0,38382.22756775288,False,False
3032,Laval-Roquecezière,76 - Occitanie,280,31.1,0,38381.98280332397,False,False
