code_insee,commune,region,population_2023,part_65_plus_pct,revenu_median_uc,loyer_m2,nb_audioprothesistes_2022,nb_audioprothesistes_2026,nb_orl_liberaux_2026,lat,lon,dist_audio_km,score_v2,sans_audio_5k,prioritaire_v2,apl,rang
78062,Beynes,11 - Île-de-France,7704,18.57,33450.0,16.6027204969106,0.0,0,0,48.8535190625,1.8696434375,6.6,32778.89840334166,True,True,63.03846318238262,78
51030,Aÿ-Champagne,44 - Grand Est,5103,28.8,27400.0,9.77760749496005,0.0,0,0,49.05220403361344,4.0398507563025206,7.4,32777.63363160099,True,True,74.94305865788752,79
49035,Bouchemaine,52 - Pays de la Loire,6580,28.51,32260.0,12.960362434759,0.0,0,0,47.43288794520548,-0.6282897260273974,5.0,32741.226095681603,True,True,93.21988115272468,80
66017,Le Barcarès,76 - Occitanie,6109,46.48,23750.0,13.3830809853262,0.0,0,0,42.798014878048775,3.028297804878049,2.1,32740.55475439352,True,True,62.207407037413766,81
33029,Le Barp,75 - Nouvelle-Aquitaine,5806,13.58,28560.0,12.7231261701006,0.0,0,0,44.62681177419356,-0.7692854838709678,10.2,32722.60436333224,True,True,84.29207612711222,82
97228,Sainte-Marie,02 - Martinique,14756,25.98,,13.113043936701,0.0,0,0,14.769617891891894,-61.01026891891891,8.3,32709.63918266793,True,True,23.317263444104672,83
74282,Fillière,84 - Auvergne-Rhône-Alpes,10075,15.67,36700.0,18.0264169032045,0.0,0,0,46.00106017391305,6.203823217391304,5.6,32696.08092921318,True,True,94.34606395916546,84
54280,Jœuf,44 - Grand Est,6392,26.72,20910.0,9.32994238938831,0.0,0,0,49.2327097368421,6.0117978947368425,4.5,32636.9014654124,True,True,66.68865907203516,85
78350,Louveciennes,11 - Île-de-France,7990,21.82,41000.0,20.4153238208221,0.0,0,0,48.860065000000006,2.114616842105263,1.9,32631.17343679525,True,True,100.12595547337123,86
56008,Baden,53 - Bretagne,5086,33.73,31260.0,12.4672507417756,0.0,0,0,47.60461899280576,-2.9111320143884893,3.9,32628.985161236666,True,True,97.5212095075472,87
17449,Tonnay-Charente,75 - Nouvelle-Aquitaine,8289,26.93,24570.0,11.6902562099181,0.0,0,0,45.963624204545454,-0.8739527272727272,7.7,32621.325422744358,True,True,72.86784899651813,88
29158,Penmarch,53 - Bretagne,5508,41.17,26250.0,10.9274828048208,0.0,0,0,47.81334102941177,-4.341711764705883,4.2,32615.970786886868,True,True,51.64530989001808,89
27701,Val-de-Reuil,28 - Normandie,13245,9.39,18960.0,12.4698986220886,0.0,0,0,49.26220469072165,1.2092811340206189,6.3,32607.689154804037,True,True,74.92784761502509,90
33393,Saint-Denis-de-Pile,75 - Nouvelle-Aquitaine,5955,22.29,24380.0,11.1222767699523,0.0,0,0,44.988738181818185,-0.2000404545454545,8.6,32548.687780401684,True,True,70.00237915743493,91
97232,Le Vauclin,02 - Martinique,8483,28.45,,14.1017499389385,0.0,0,0,14.545050244897958,-60.85002791836734,7.2,32533.25980851798,True,True,23.42017110728091,92
34300,Servian,76 - Occitanie,5517,20.75,24310.0,10.032955251794,1.0,0,0,43.415840823529415,3.3048805882352936,9.0,32521.368565578006,True,True,83.1331224368469,93
67151,Gambsheim,44 - Grand Est,5312,21.19,29810.0,13.7910300511663,0.0,0,0,48.69390999999999,7.886628723404255,7.1,32496.928014241046,True,True,82.35162040530567,94
