commune,region,population,part_65_plus_pct,densite_hab_km2,revenu_median_uc,loyer_m2,nb_audioprothesistes_2022,hab_par_audio,nb_orl_liberaux_2022
Saint-Bauzély,76 - Occitanie,653,13.2,130.6,19320.0,10.5,0,653.0,0
Villeneuve,76 - Occitanie,1988,12.2,30.44,21290.0,7.7,0,1988.0,0
Bagneux,44 - Grand Est,153,14.0,17.79,20690.0,7.9,1,76.5,0
Brunembert,32 - Hauts-de-France,414,13.6,67.76,20030.0,8.6,0,414.0,0
Mérignac,75 - Nouvelle-Aquitaine,221,17.6,50.11,18840.0,8.3,11,18.416666666666668,5
La Quinte,52 - Pays de la Loire,770,10.5,87.4,23450.0,9.5,0,770.0,0
Kersaint-Plabennec,53 - Bretagne,1474,10.7,123.35,22830.0,9.0,0,1474.0,0
Villécloye,44 - Grand Est,267,12.1,37.19,22910.0,7.2,0,267.0,0
Échevannes,27 - Bourgogne-Franche-Comté,88,28.7,16.83,,8.7,0,88.0,0
Baigneaux,75 - Nouvelle-Aquitaine,446,12.6,56.24,21370.0,8.6,0,446.0,0
Valence-en-Brie,11 - Île-de-France,1016,10.4,92.11,22600.0,11.1,0,1016.0,0
Tresbœuf,53 - Bretagne,1246,13.2,49.19,20580.0,7.4,0,1246.0,0
La Chapelle-d'Aurec,84 - Auvergne-Rhône-Alpes,1037,10.3,87.96,24550.0,7.4,0,1037.0,0
Sainte-Eulalie,84 - Auvergne-Rhône-Alpes,215,16.4,9.72,17590.0,7.6,1,107.5,0
Eringhem,32 - Hauts-de-France,488,12.8,42.32,20210.0,10.4,0,488.0,0
Bourdelles,75 - Nouvelle-Aquitaine,90,28.7,12.75,,8.7,0,90.0,0
La Hallotière,28 - Normandie,223,12.8,59.47,20900.0,9.3,0,223.0,0
Senneçay,24 - Centre-Val de Loire,471,11.4,32.55,23300.0,8.0,0,471.0,0
Galié,76 - Occitanie,79,28.6,27.62,,8.9,0,79.0,0
Grandvelle-et-le-Perrenot,27 - Bourgogne-Franche-Comté,380,13.3,36.4,21390.0,6.8,0,380.0,0
Saint-Germain-le-Guillaume,52 - Pays de la Loire,503,14.3,38.02,19850.0,7.0,0,503.0,0
Hautefage-la-Tour,75 - Nouvelle-Aquitaine,1010,12.0,48.67,21710.0,8.7,0,1010.0,0
Bevons,93 - Provence-Alpes-Côte d'Azur,247,11.1,21.94,22900.0,10.0,0,247.0,0
Fertrève,27 - Bourgogne-Franche-Comté,100,29.1,4.09,,7.6,0,100.0,0
Petit-Palais-et-Cornemps,75 - Nouvelle-Aquitaine,723,13.4,50.49,20030.0,8.7,0,723.0,0
Mont-sur-Courville,44 - Grand Est,123,11.0,20.71,23370.0,9.5,0,123.0,0
Le Verger,53 - Bretagne,1439,11.7,206.75,21930.0,7.7,0,1439.0,0
Givry-lès-Loisy,44 - Grand Est,71,28.8,14.06,,8.4,0,71.0,0
Saint-Jean-de-la-Neuville,28 - Normandie,610,10.8,76.92,23100.0,9.6,0,610.0,0
Saint-Vincent,75 - Nouvelle-Aquitaine,397,12.0,23.9,22350.0,8.4,0,397.0,0
Lornay,84 - Auvergne-Rhône-Alpes,566,9.3,58.65,23760.0,12.5,0,566.0,0
Oizé,52 - Pays de la Loire,1327,12.8,78.47,20910.0,7.5,0,1327.0,0
Serre-les-Moulières,27 - Bourgogne-Franche-Comté,191,12.7,33.69,21830.0,7.8,0,191.0,0
Pellerey,27 - Bourgogne-Franche-Comté,98,28.9,7.88,,8.1,0,98.0,0
Saint-André-la-Côte,84 - Auvergne-Rhône-Alpes,286,11.3,59.96,23580.0,7.8,0,286.0,0
Éturqueraye,28 - Normandie,298,11.7,44.35,21830.0,10.3,0,298.0,0
Saint-Nizier-le-Désert,84 - Auvergne-Rhône-Alpes,917,11.7,36.74,22280.0,8.5,0,917.0,0
Mauressac,76 - Occitanie,512,11.6,113.27,21800.0,10.0,0,512.0,0
Arry,32 - Hauts-de-France,215,14.9,29.29,17860.0,9.8,0,215.0,0
Jeancourt,32 - Hauts-de-France,269,13.0,46.22,20830.0,8.8,0,269.0,0
Cuignières,32 - Hauts-de-France,246,10.2,39.42,23740.0,10.6,0,246.0,0
Barchain,44 - Grand Est,110,12.7,64.71,21600.0,8.2,0,110.0,0
Doignies,32 - Hauts-de-France,329,12.8,44.46,20560.0,9.8,0,329.0,0
Vacquières,76 - Occitanie,710,11.0,48.17,21850.0,11.5,0,710.0,0
Saint-Félix-de-Bourdeilles,75 - Nouvelle-Aquitaine,63,29.0,10.4,,7.8,0,63.0,0
Aiglun,93 - Provence-Alpes-Côte d'Azur,93,28.0,6.05,,10.5,0,93.0,0
Cases-de-Pène,76 - Occitanie,933,12.3,69.73,20470.0,10.3,0,933.0,0
Saint-Abit,75 - Nouvelle-Aquitaine,314,11.2,74.41,22640.0,9.8,0,314.0,0
Sommeron,32 - Hauts-de-France,140,15.3,29.91,18380.0,7.7,0,140.0,0
Beaumesnil,28 - Normandie,201,14.4,40.28,19670.0,7.4,0,201.0,0
La Breille-les-Pins,52 - Pays de la Loire,600,14.7,21.76,19360.0,6.7,0,600.0,0
Montreuil-en-Auge,28 - Normandie,61,28.1,18.1,,10.2,0,61.0,0
Vieillevigne,52 - Pays de la Loire,3957,10.3,76.45,21070.0,10.0,0,3957.0,0
Arçay,75 - Nouvelle-Aquitaine,349,14.0,24.84,20380.0,6.9,0,349.0,0
Musigny,27 - Bourgogne-Franche-Comté,82,28.9,13.42,,8.0,0,82.0,0
Sainte-Eusoye,32 - Hauts-de-France,329,10.3,38.8,23220.0,11.2,0,329.0,0
Nuncq-Hautecôte,32 - Hauts-de-France,490,13.7,73.8,19770.0,8.5,0,490.0,0
Choussy,24 - Centre-Val de Loire,336,12.9,21.75,21270.0,8.1,0,336.0,0
Auterive,76 - Occitanie,82,29.9,22.28,,8.3,3,20.5,0
Surfonds,52 - Pays de la Loire,340,12.4,70.1,21930.0,7.9,0,340.0,0
Ville-au-Val,44 - Grand Est,194,10.8,33.51,23680.0,9.1,0,194.0,0
Les Nans,27 - Bourgogne-Franche-Comté,94,28.7,11.68,,8.5,0,94.0,0
Villerserine,27 - Bourgogne-Franche-Comté,47,28.9,16.49,,8.0,0,47.0,0
Vatry,44 - Grand Est,156,12.0,18.59,22910.0,7.5,0,156.0,0
Beillé,52 - Pays de la Loire,528,13.1,62.26,20860.0,7.9,0,528.0,0
Parisot,76 - Occitanie,585,14.2,21.0,19330.0,8.1,0,585.0,0
Varennes,76 - Occitanie,611,12.6,41.4,21070.0,8.8,0,611.0,0
Bessens,76 - Occitanie,1497,10.6,161.49,22840.0,8.8,0,1497.0,0
Virson,75 - Nouvelle-Aquitaine,762,11.0,76.81,22290.0,10.3,0,762.0,0
Éclusier-Vaux,32 - Hauts-de-France,83,28.4,13.09,,9.3,0,83.0,0
Bressey-sur-Tille,27 - Bourgogne-Franche-Comté,1120,10.3,154.27,23040.0,9.8,0,1120.0,0
Sion,76 - Occitanie,100,28.9,14.18,,7.9,0,100.0,0
Loison,44 - Grand Est,120,14.2,8.46,20130.0,7.2,0,120.0,0
Vignes-la-Côte,44 - Grand Est,65,29.2,20.97,,7.1,0,65.0,0
Maizières,32 - Hauts-de-France,195,13.5,28.43,20330.0,8.5,0,195.0,0
Esparron,76 - Occitanie,52,28.6,9.4,,8.8,0,52.0,0
Monget,75 - Nouvelle-Aquitaine,87,28.9,15.43,,7.9,0,87.0,0
