code_insee,commune,region,population_2023,part_65_plus_pct,revenu_median_uc,loyer_m2,nb_audioprothesistes_2022,nb_audioprothesistes_2026,nb_orl_liberaux_2026,lat,lon,dist_audio_km,score_v2,sans_audio_5k,prioritaire_v2,apl,dist_audio_km_v21,apl_v21
24088,Cause-de-Clérans,75 - Nouvelle-Aquitaine,331,27.27,23550.0,10.8893167754531,0.0,0,0,44.872673582089554,0.6698101492537312,5.4,32051.248377009688,False,False,63.36297415124399,5.4,63.36297415124401
24090,,75 - Nouvelle-Aquitaine,619,28.96,24670.0,10.1219492454119,,0,0,45.29144642105263,0.4127572631578948,8.1,32815.53994301073,False,False,46.3359317510399,8.1,46.3359317510399
24091,Cénac-et-Saint-Julien,75 - Nouvelle-Aquitaine,1183,33.47,25410.0,11.1494323552721,0.0,0,0,44.78866917525773,1.2043289690721648,13.0,35219.13293303273,False,False,53.07854350720966,13.0,53.07854350720963
24094,Chalagnac,75 - Nouvelle-Aquitaine,442,21.77,25250.0,8.881102484796,0.0,0,0,45.0913720338983,0.6818437288135595,4.9,30657.375879668885,False,False,75.17480933649831,4.9,75.17480933649831
24095,,75 - Nouvelle-Aquitaine,405,36.81,23180.0,7.91974743543529,,0,0,45.50052152941176,0.9418671764705884,8.6,34273.01544372023,False,False,32.84047409702046,8.6,32.84047409702046
24096,Champagnac-de-Belair,75 - Nouvelle-Aquitaine,767,35.46,24210.0,8.77017568087236,0.0,0,0,45.4000856043956,0.6967878021978023,14.9,36296.5157810695,False,False,46.87002967844853,14.9,46.87002967844853
24097,Champagne-et-Fontaine,75 - Nouvelle-Aquitaine,346,39.93,23330.0,10.1219492454119,0.0,0,0,45.43151727272727,0.3314867045454546,15.7,37483.49816280296,False,False,40.26719166212544,15.7,40.26719166212544
24098,Champcevinel,75 - Nouvelle-Aquitaine,3126,27.02,29210.0,10.8127488210829,1.0,2,0,45.2180025,0.7239079545454545,0.0,29773.44249510268,False,False,86.9296528496021,0.0,86.92965284960209
24100,Champniers-et-Reilhac,75 - Nouvelle-Aquitaine,541,33.53,21440.0,7.90549978806873,0.0,0,0,45.6732552688172,0.7196716129032259,15.9,37556.56062100922,False,False,28.768173338202224,15.9,28.768173338202228
24101,Champs-Romain,75 - Nouvelle-Aquitaine,291,33.56,22340.0,9.13353808144677,0.0,0,0,45.53758285714285,0.7706664935064935,7.3,33826.468730664725,False,False,32.96476232771623,7.3,32.96476232771624
24102,Chancelade,75 - Nouvelle-Aquitaine,4468,31.43,26350.0,8.881102484796,1.0,1,0,45.21067213114753,0.6544118032786885,0.0,30437.25324208617,False,False,78.85642460855364,0.0,78.85642460855362
24104,Chantérac,75 - Nouvelle-Aquitaine,652,22.93,25630.0,10.1219492454119,0.0,0,0,45.1703864556962,0.4391596202531647,7.0,31741.760990336217,False,False,52.09440658191063,7.0,52.09440658191062
24105,Chapdeuil,75 - Nouvelle-Aquitaine,142,26.28,24070.0,10.1219492454119,0.0,0,0,45.34455022727273,0.4640515909090909,15.1,35583.21513285811,False,False,41.49903384156262,15.1,41.49903384156261
24106,La Chapelle-Aubareil,75 - Nouvelle-Aquitaine,542,23.52,23890.0,9.95814798909178,0.0,0,0,45.00260113636364,1.1899705681818182,7.3,32252.2728271268,False,False,71.37453010126744,7.3,71.37453010126742
