code_insee,commune,region,population_2023,part_65_plus_pct,revenu_median_uc,loyer_m2,nb_audioprothesistes_2022,nb_audioprothesistes_2026,nb_orl_liberaux_2026,lat,lon,dist_audio_km,score_v2,sans_audio_5k,prioritaire_v2,apl
32420,Sauvimont,76 - Occitanie,65,34.38,,10.6911307618591,0.0,0,0,43.449829393939396,0.9673348484848484,5.7,32293.77356540502,False,False,43.85541032304658
32421,Savignac-Mona,76 - Occitanie,146,22.6,25130.0,10.6911307618591,0.0,0,0,43.487003863636374,1.0076547727272729,6.1,31296.91741058162,False,False,43.65213746547552
32422,Scieurac-et-Flourès,76 - Occitanie,44,41.86,,8.28646856635136,0.0,0,0,43.55675131578946,0.19832921052631577,13.2,35912.32210678306,False,False,36.47998214587938
32423,Séailles,76 - Occitanie,70,39.68,,8.73987203474783,0.0,0,0,43.75162326086956,0.1114178260869565,11.5,35038.85885267533,False,False,38.05590563994417
32424,Ségos,76 - Occitanie,256,27.35,27010.0,8.50269085863924,0.0,0,0,43.631946470588225,-0.25937725490196073,7.7,32593.804864649195,False,False,50.421158893954875
32425,Ségoufielle,76 - Occitanie,1197,12.15,28620.0,10.9237199951161,0.0,0,0,43.631347272727275,1.130309090909091,4.1,30025.51040921972,False,False,76.63555495082218
32426,Seissan,76 - Occitanie,1097,28.29,24500.0,7.38908068601093,0.0,0,0,43.496738988764044,0.5728520224719101,13.6,34871.90669263902,False,False,58.23160973699765
32427,Sembouès,76 - Occitanie,58,55.17,,9.62396657485442,0.0,0,0,43.464349999999996,0.17247027027027026,10.8,36355.337865156005,False,False,50.17651378678361
32428,Sémézies-Cachan,76 - Occitanie,53,37.04,,7.38908068601093,0.0,0,0,43.50096239130435,0.735378695652174,13.6,35542.11066147397,False,False,39.4877772827638
32429,Sempesserre,76 - Occitanie,323,27.34,24800.0,8.52468770557439,0.0,0,0,44.02200021739131,0.6422509782608696,8.4,32634.244911385464,False,False,64.14833418218312
32430,Sère,76 - Occitanie,78,42.5,,8.45478102063581,0.0,0,0,43.40520476190475,0.6469801587301586,12.5,35705.5725231084,False,False,38.635542174334894
32431,Sérempuy,76 - Occitanie,42,16.67,,9.38903214767368,0.0,0,0,43.76078034482759,0.8205924137931033,4.4,29932.609234359858,False,False,46.619081581457934
32432,Seysses-Savès,76 - Occitanie,244,26.59,27420.0,10.1254346573209,0.0,0,0,43.51102546511628,1.048825930232558,9.5,33390.206171747224,False,False,49.506267830322564
32433,Simorre,76 - Occitanie,688,40.93,22150.0,9.02088711137461,0.0,0,0,43.46362263157894,0.7317707894736841,13.4,37075.2341873768,False,False,37.09963507075262
32434,Sion,76 - Occitanie,99,28.87,,8.73987203474783,0.0,0,0,43.738430869565214,0.004650652173913043,3.9,30918.027844107273,False,False,47.79841240296103
32435,Sirac,76 - Occitanie,164,17.96,27740.0,10.9237199951161,0.0,0,0,43.70375214285715,0.9531057142857141,8.1,32060.55839886601,False,False,35.55108605789077
32436,Solomiac,76 - Occitanie,496,25.45,24040.0,9.38903214767368,0.0,0,0,43.80025351351351,0.8859759459459461,7.3,32354.78251642454,False,False,46.635759260393
32437,Sorbets,76 - Occitanie,203,29.35,23130.0,9.11725499779164,0.0,0,0,43.71464218181818,-0.015725454545454546,5.5,32370.114685230452,False,False,61.68802158139844
32438,Tachoires,76 - Occitanie,115,26.27,,7.38908068601093,0.0,0,0,43.47293898550724,0.6549718840579709,19.6,36865.47195350088,False,False,36.73096743940771
32439,Tarsac,76 - Occitanie,164,35.5,26400.0,8.28646856635136,0.0,0,0,43.666890232558146,-0.11583046511627908,3.7,31699.641139177325,False,False,50.64874820107659
32440,Tasque,76 - Occitanie,243,24.71,23280.0,8.28646856635136,0.0,0,0,43.635734603174605,0.013150476190476192,4.9,31562.052185919947,False,False,52.936538071478964
32441,Taybosc,76 - Occitanie,68,39.71,,9.38903214767368,0.0,0,0,43.78639853658537,0.7415348780487805,10.1,34516.76074391953,False,False,61.94734037726636
32442,Terraube,76 - Occitanie,352,27.36,24770.0,8.37576115581835,0.0,0,0,43.90469391304347,0.5486904347826087,9.2,32960.32697991396,False,False,55.09341762697606
32443,Termes-d'Armagnac,76 - Occitanie,207,32.35,22880.0,8.28646856635136,0.0,0,0,43.67088403225808,-0.011934838709677419,6.3,33044.81227514488,False,False,49.11825304302438
32444,Thoux,76 - Occitanie,260,22.57,31440.0,10.9237199951161,0.0,0,0,43.68114377777778,0.9921128888888887,10.7,34150.47003503783,False,False,32.057964744202536
32445,Tieste-Uragnoux,76 - Occitanie,158,25.64,22000.0,8.28646856635136,0.0,0,0,43.55486413043479,0.03368630434782609,4.9,32163.26045562058,False,False,43.01365809352844
32446,Tillac,76 - Occitanie,281,34.17,24180.0,7.65143161208176,0.0,0,0,43.47889462686567,0.2653308955223881,12.3,35076.43744661873,False,False,25.76579562276838
32447,Tirent-Pontéjac,76 - Occitanie,75,25.33,,8.74417596583251,0.0,0,0,43.54634761904762,0.792604761904762,12.2,33884.11946591298,False,False,32.241833690569905
32448,Touget,76 - Occitanie,495,22.25,26550.0,8.74417596583251,0.0,0,0,43.68591938461538,0.9148338461538461,7.0,31745.03880240959,False,False,45.97832911189364
32449,Toujouse,76 - Occitanie,293,21.41,21980.0,8.73987203474783,0.0,0,0,43.823424507042255,-0.1809161971830986,13.8,35333.38086978992,False,False,51.76650309760679
32450,Tourdun,76 - Occitanie,117,38.53,,8.28646856635136,0.0,0,0,43.54857775510205,0.15903408163265306,10.7,34579.747499008285,False,False,31.60190919359563
32451,Tournan,76 - Occitanie,175,29.21,23380.0,9.02088711137461,0.0,0,0,43.42449774193548,0.7927953225806452,9.8,33971.412431765275,False,False,21.708217148637573
32452,Tournecoupe,76 - Occitanie,262,30.79,24760.0,8.99224831792825,0.0,0,0,43.86154085714285,0.8277558571428573,6.3,32179.933078753536,False,False,32.30763300873813
32453,Tourrenquets,76 - Occitanie,99,36.36,,9.40608636615458,0.0,0,0,43.74979128205129,0.7015166666666667,11.2,34622.858610856754,False,False,60.0433831635089
32454,Traversères,76 - Occitanie,71,22.54,,8.74417596583251,0.0,0,0,43.53333050847458,0.6447015254237288,15.2,34805.096156749954,False,False,59.000336530780416
32455,Troncens,76 - Occitanie,159,32.72,22320.0,9.62396657485442,0.0,0,0,43.45403546875,0.22110078125,14.8,36776.02456185996,False,False,43.72698079961694
32456,Tudelle,76 - Occitanie,56,26.42,,7.65143161208176,0.0,0,0,43.68367452380952,0.2864052380952381,9.5,32854.238069229556,False,False,47.926937330183826
32457,Urdens,76 - Occitanie,264,19.89,26020.0,8.52468770557439,0.0,0,0,43.86452615384615,0.7109482692307693,5.5,30811.610560137276,False,False,57.93040277823238
32458,Urgosse,76 - Occitanie,240,33.76,25250.0,8.73987203474783,0.0,0,0,43.73914111111111,-0.02181466666666667,2.7,30967.603020229566,False,False,57.25908350257807
