site_id,siret,enseigne,raison_sociale,groupe,adresse,code_postal,code_insee,commune_rpps,secteur,n_praticiens,n_salaries,n_titulaires,nom_site,retail,type,code_insee_geo,commune,region,population_2023,part_65_plus_pct,revenu_median_uc,nb_audioprothesistes_2026,lat,lon,dist_audio_km,apl,n_sites_commune,concurrents_10km,concurrents_20km,concurrents_30km,dist_concurrent_km,bande_concurrence,bande10,strate,poids
R10100000706544,51398875800019,,SAINT LYS AUDITION,Indépendant / autre,11 Place NATIONALE,31470,31499,Saint-Lys,Appareillage médical,1,1,0,SAINT LYS AUDITION,True,indépendant,31499,Saint-Lys,76 - Occitanie,9892.0,17.49,27240.0,2.0,43.50897369230769,1.200417230769231,0.0,92.61284128059484,2,12.0,59.0,169.0,0.0,10+,10+,10+ | indépendant,3.7745901639344264
R10100000705585,51375004200386,SOLUSONS,CLERMONT DISTRIBUTION,Solusons,23 Avenue DE LA LIBERATION,33680,33214,Lacanau,Appareillage médical,1,1,0,SOLUSONS,True,enseigne nationale,33214,Lacanau,75 - Nouvelle-Aquitaine,5739.0,31.17,28550.0,3.0,44.990261976744186,-1.114142093023256,0.0,54.4332468653104,3,2.0,2.0,18.0,0.0,10+,1-2,1-2 | enseigne nationale,1.0
R10100000697346,48891774100040,AUDIOGRAM,AUDIOGRAM,Indépendant / autre,28 Rue GENERAL DE GAULLE,85510,85031,Le Boupère,Appareillage médical,1,0,1,AUDIOGRAM,True,indépendant,85031,Le Boupère,52 - Pays de la Loire,3151.0,22.21,24570.0,1.0,46.7842462406015,-0.9324996992481204,0.0,53.53952848455173,1,1.0,8.0,30.0,8.1,10+,1-2,1-2 | indépendant,1.0
R10100000719836,91014593700017,,E.V. CANET,Indépendant / autre,12 Rue CAP BEAR,66140,66037,Canet-en-Roussillon,Appareillage médical,1,0,1,E.V. CANET,True,indépendant,66037,Canet-en-Roussillon,76 - Occitanie,13227.0,39.95,25040.0,3.0,42.68877738636363,3.0121077272727272,0.0,95.91763251724618,3,45.0,67.0,79.0,0.0,10+,10+,10+ | indépendant,3.7745901639344264
R10100000754914,98266392400024,AUDITION CONFORT,AUDITION CARAMY,Indépendant / autre,354 Avenue DES BERGES,83170,83023,Brignoles,Appareillage médical,1,0,1,AUDITION CONFORT,True,indépendant,83023,Brignoles,93 - Provence-Alpes-Côte d'Azur,17850.0,20.99,22510.0,10.0,43.395964368421055,6.07369005263158,0.0,65.5870266513232,8,10.0,22.0,47.0,0.0,10+,10+,10+ | indépendant,3.7745901639344264
R10100000700453,49123973700068,AUDILAB,L AUDITION DU HAUT DOUBS,Audilab,1 Rue DE LA GARE,25500,25411,Morteau,Appareillage médical,1,1,0,AUDILAB,True,enseigne nationale,25411,Morteau,27 - Bourgogne-Franche-Comté,6953.0,19.02,36690.0,1.0,47.06211385714286,6.589016571428569,0.0,52.853381516045744,1,1.0,1.0,12.0,3.2,10+,1-2,1-2 | enseigne nationale,1.0
R10100000862933,10105704000012,AUDITION MEAS,AUDITION MEAS,Indépendant / autre,57 Rue de la boulaye,85320,85135,Mareuil-sur-Lay-Dissais,Appareillage médical,1,0,1,AUDITION MEAS,True,indépendant,85135,Mareuil-sur-Lay-Dissais,52 - Pays de la Loire,2808.0,28.31,24760.0,1.0,46.5373723015873,-1.2288969047619047,0.0,43.41018558376169,1,0.0,5.0,22.0,10.4,10+,0,0 | indépendant,1.0
R10100000687675,31808311003577,,AMPLIFON FRANCE,Amplifon,3 Rue ROGER SALENGRO,02000,02408,Laon,Appareillage médical,1,1,0,AMPLIFON FRANCE,True,enseigne nationale,02408,Laon,32 - Hauts-de-France,24220.0,20.36,19870.0,7.0,49.57553050847458,3.617261694915254,0.0,49.62470838844288,5,4.0,5.0,13.0,0.0,10+,3-9,3-9 | enseigne nationale,3.772
R10100000687539,31808311001886,,AMPLIFON FRANCE,Amplifon,117 Rue DE LA CONVENTION,75015,75115,Paris 15e  Arrondissement,Appareillage médical,3,3,0,AMPLIFON FRANCE,True,enseigne nationale,75056,Paris,,229713.0,18.51,,37.0,48.85022,2.36163,0.0,,29,621.0,1063.0,1248.0,0.0,10+,10+,10+ | enseigne nationale,3.7737909516380657
R10100000695555,44130515800178,,AUDILAB VAL DE FRANCE,Audilab,17 Rue PIERRE ET MARIE CURIE,41140,41164,Noyers-sur-Cher,Appareillage médical,2,1,1,AUDILAB VAL DE FRANCE,True,enseigne nationale,41164,Noyers-sur-Cher,24 - Centre-Val de Loire,2631.0,32.95,24070.0,2.0,47.27875269230768,1.4113215384615383,0.0,55.8753497527444,1,1.0,7.0,14.0,6.0,10+,1-2,1-2 | enseigne nationale,1.0
R10100000694977,40346085000023,,OPTICIENS PIERAUT,Indépendant / autre,44 Avenue DES NATIONS,57970,57757,Yutz,Appareillage médical,1,1,0,OPTICIENS PIERAUT,True,indépendant,57757,Yutz,44 - Grand Est,17391.0,18.1,27540.0,3.0,49.35094056818182,6.20239659090909,0.0,49.795655661180064,3,14.0,25.0,58.0,0.0,10+,10+,10+ | indépendant,3.7745901639344264
R10100000698169,48472302800169,,AUDILAB POITIERS,Audilab,3 Rue PIERRE MOYON,86600,86139,Lusignan,Appareillage médical,1,1,0,AUDILAB POITIERS,True,enseigne nationale,86139,Lusignan,75 - Nouvelle-Aquitaine,2544.0,31.42,24330.0,1.0,46.4362230927835,0.1144063917525773,0.0,28.459049979021028,1,0.0,0.0,23.0,20.8,10+,0,0 | enseigne nationale,1.0
R10100000687968,31808311006430,AMPLIFON,AMPLIFON FRANCE,Amplifon,10 Rue DES MARTYRS DE LA RESISTANCE,57950,57480,Montigny-lès-Metz,Appareillage médical,1,1,0,AMPLIFON,True,enseigne nationale,57480,Montigny-lès-Metz,44 - Grand Est,21718.0,22.56,24490.0,2.0,49.09642133333335,6.155007333333333,0.0,67.63239232500425,2,26.0,42.0,65.0,0.0,10+,10+,10+ | enseigne nationale,3.7737909516380657
R10000004113992,33283708700151,,AUDILAB,Audilab,47 PL CARNOT,72600,72180,Mamers,Appareillage médical,1,0,1,AUDILAB,True,enseigne nationale,72180,Mamers,52 - Pays de la Loire,4996.0,31.39,21870.0,2.0,48.355911428571424,0.3700062857142858,0.0,52.31711490084795,2,1.0,2.0,19.0,0.0,10+,1-2,1-2 | enseigne nationale,1.0
R10100000692604,39493833600028,,OPTIQUE BLANCHET,Indépendant / autre,71 Rue SADI CARNOT,76160,76212,Darnétal,Appareillage médical,2,1,1,OPTIQUE BLANCHET,True,indépendant,76212,Darnétal,28 - Normandie,9566.0,18.09,21360.0,3.0,49.44461159090909,1.154482954545455,0.0,82.76193846100546,2,42.0,57.0,79.0,0.0,10+,10+,10+ | indépendant,3.7745901639344264
R10100000687390,30889577008220,AUDIKA,SOGECA,Audika,16 Rue CHERVIN,08400,08490,Vouziers,Appareillage médical,1,1,0,AUDIKA,True,enseigne nationale,08490,Vouziers,44 - Grand Est,3825.0,34.65,22360.0,3.0,49.422085045454544,4.700764227272726,0.0,55.85861818369804,2,1.0,1.0,4.0,0.0,3-9,1-2,1-2 | enseigne nationale,1.0
R10100000686645,30889577002983,AUDIKA,SOGECA,Audika,28 Rue DE BREST,29600,29151,Morlaix,Appareillage médical,1,1,0,AUDIKA,True,enseigne nationale,29151,Morlaix,53 - Bretagne,15194.0,23.54,23610.0,4.0,48.5947459139785,-3.818329784946237,0.0,85.11920934486615,2,8.0,13.0,20.0,0.0,10+,3-9,3-9 | enseigne nationale,3.772
R10100000718857,90970716800011,,SONOPURE AUDITION GANGES,Indépendant / autre,2411 Rue DES CALQUIERES,34190,34111,Ganges,Appareillage médical,2,2,0,SONOPURE AUDITION GANGES,True,indépendant,34111,Ganges,76 - Occitanie,3724.0,34.06,19280.0,4.0,43.94497461538462,3.70560358974359,0.0,63.14407125200532,3,5.0,7.0,17.0,0.0,10+,3-9,3-9 | indépendant,3.77511961722488
R10100000705619,51375004200758,SOLUSONS,CLERMONT DISTRIBUTION,Solusons,7 Place DU 14 JUILLET,03600,03082,Commentry,Appareillage médical,2,2,0,SOLUSONS,True,enseigne nationale,03082,Commentry,84 - Auvergne-Rhône-Alpes,6017.0,33.23,22570.0,3.0,46.27449074626865,2.751350597014925,0.0,42.44220071929885,2,1.0,11.0,11.0,0.0,10+,1-2,1-2 | enseigne nationale,1.0
R10100000714430,83028148100010,,LORIENT AUDITION,Indépendant / autre,3 Rue DE L'ASSEMBLEE NATIONALE,56100,56121,Lorient,Appareillage médical,1,0,1,LORIENT AUDITION,True,indépendant,56121,Lorient,53 - Bretagne,58329.0,22.79,23810.0,19.0,47.751646176470594,-3.379137794117647,0.0,90.31145467747814,14,32.0,40.0,46.0,0.0,10+,10+,10+ | indépendant,3.7745901639344264
R10100000701114,50745093000114,VIVASON RENNES,VIVASON ALPHA,VivaSon,31 Rue MARECHAL JOFFRE,35000,35238,Rennes,Appareillage médical,1,0,1,VIVASON RENNES,True,enseigne nationale,35238,Rennes,53 - Bretagne,230890.0,14.5,25100.0,37.0,48.11080775510204,-1.6841409523809523,0.0,136.29117245504656,29,63.0,90.0,106.0,0.0,10+,10+,10+ | enseigne nationale,3.7737909516380657
R10100000688027,31808311008899,AMPLIFON,AMPLIFON FRANCE,Amplifon,1 Place DE LA MADELEINE,27130,27679,Verneuil d'Avre et d'Iton,Appareillage médical,2,2,0,AMPLIFON,True,enseigne nationale,27679,Verneuil d'Avre et d'Iton,28 - Normandie,7193.0,28.72,22520.0,5.0,48.76036419889502,0.8866244198895027,0.0,49.35103646106178,3,2.0,2.0,10.0,0.0,10+,1-2,1-2 | enseigne nationale,1.0
R10100000715037,84119373300026,,LCP BECON,Indépendant / autre,155 Rue DU COMMERCE,49370,49026,Bécon-les-Granits,Appareillage médical,1,0,1,LCP BECON,True,indépendant,49026,Bécon-les-Granits,52 - Pays de la Loire,2811.0,17.75,26270.0,1.0,47.496654227642274,-0.803749105691057,0.0,69.72396157576479,2,1.0,45.0,64.0,0.0,10+,1-2,1-2 | indépendant,1.0
R10100000782656,79004972000051,AUDILAB,AUDILAB MG,Audilab,3 Rue Christophe Thivrier,03600,03082,Commentry,Appareillage médical,1,0,1,AUDILAB,True,enseigne nationale,03082,Commentry,84 - Auvergne-Rhône-Alpes,6017.0,33.23,22570.0,3.0,46.27449074626865,2.751350597014925,0.0,42.44220071929885,2,1.0,11.0,11.0,0.0,10+,1-2,1-2 | enseigne nationale,1.0
R10100000687683,31808311003676,,AMPLIFON FRANCE,Amplifon,39 Route NATIONALE 6,69720,69287,Saint-Bonnet-de-Mure,Appareillage médical,1,1,0,AMPLIFON FRANCE,True,enseigne nationale,69287,Saint-Bonnet-de-Mure,84 - Auvergne-Rhône-Alpes,6984.0,19.11,32710.0,3.0,45.70066939999999,5.0275816,0.0,111.2306247409315,3,38.0,204.0,282.0,0.0,10+,10+,10+ | enseigne nationale,3.7737909516380657
