site_id,siret,enseigne,raison_sociale,groupe,adresse,code_postal,code_insee,commune_rpps,secteur,n_praticiens,n_salaries,n_titulaires,nom_site,retail,type,code_insee_geo,commune,region,population_2023,part_65_plus_pct,revenu_median_uc,nb_audioprothesistes_2026,lat,lon,dist_audio_km,apl,n_sites_commune,concurrents_10km,concurrents_20km,concurrents_30km,dist_concurrent_km,bande_concurrence,alternatives_10km,memes_enseigne_10km,alternatives_20km,memes_enseigne_20km,bande_alt10,nb_audio_2022_commune,entrant_commune
R10100000705136,52935748500216,OPTICAL CENTER,SAS JUROMA,Optical Center,139 Rue DU TEMPLE DE BLOSNE,35136,35281,Saint-Jacques-de-la-Lande,Appareillage médical,1,1,0,OPTICAL CENTER,True,enseigne nationale,35281,Saint-Jacques-de-la-Lande,53 - Bretagne,13800.0,11.85,24410.0,5.0,48.07541238095238,-1.7252247619047616,0.0,145.18510307734056,3,58.0,90.0,111.0,0.0,10+,35,3,50,5,10+,0.0,True
R10100000705137,52935748500224,OPTICAL CENTER,SAS JUROMA,Optical Center,11 Rue ROGER DE LA FRESNAYE,72100,72181,Le Mans,Appareillage médical,1,1,0,OPTICAL CENTER,True,enseigne nationale,72181,Le Mans,52 - Pays de la Loire,146249.0,22.04,23610.0,22.0,47.99117880000001,0.1981108,0.0,60.86134045750823,17,26.0,30.0,35.0,0.0,10+,16,3,18,3,10+,19.0,False
R10100000705145,52938460400045,,AUDITION PROST,Indépendant / autre,34 Avenue EISENHOWER,39100,39198,Dole,Appareillage médical,1,0,1,AUDITION PROST,True,indépendant,39198,Dole,27 - Bourgogne-Franche-Comté,23840.0,26.71,23850.0,12.0,47.075928320610686,5.491480534351145,0.0,87.80871883563857,9,12.0,16.0,24.0,0.0,10+,11,0,13,0,10+,8.0,False
R10100000705221,53046134200012,,BOURGES OPTIC,Indépendant / autre,LA GIRAUDAIS,35740,35210,Pacé,Appareillage médical,1,0,1,BOURGES OPTIC,True,indépendant,35210,Pacé,53 - Bretagne,11703.0,16.26,32050.0,4.0,48.15293975206611,-1.7791152892561983,0.0,137.35022783846807,3,52.0,91.0,106.0,0.0,10+,32,0,48,0,10+,1.0,False
R10100000705226,53175430700019,AUDINOVA - AUDIO PLUS,AUDIO SYSTEMS MARSEILLE,Indépendant / autre,Avenue JULES CANTINI,13006,13206,Marseille 6e  Arrondissement,Appareillage médical,1,0,1,AUDINOVA - AUDIO PLUS,True,indépendant,13055,Marseille,,38476.0,19.75,,20.0,43.28705,5.38647,0.0,,17,141.0,198.0,269.0,0.0,10+,103,0,131,0,10+,,False
R10100000705265,53202322300029,OPTICAL CENTER,PLASS-VISION,Optical Center,35 Rue DES ALLOBROGES,73100,73128,Grésy-sur-Aix,Appareillage médical,2,2,0,OPTICAL CENTER,True,enseigne nationale,73128,Grésy-sur-Aix,84 - Auvergne-Rhône-Alpes,4740.0,16.69,30100.0,5.0,45.72268,5.932701403508772,0.0,102.53630151824754,4,12.0,42.0,72.0,0.0,10+,10,0,28,1,10+,0.0,True
R10100000705268,53202423900016,OPTICAL CENTER,NGK'SAVERNE,Optical Center,15 Rue DU COMMERCE,67700,67367,Otterswiller,Appareillage médical,2,1,1,OPTICAL CENTER,True,enseigne nationale,67367,Otterswiller,44 - Grand Est,1309.0,25.58,29520.0,2.0,48.72221657142858,7.380146857142857,0.0,59.30506492440755,1,5.0,11.0,49.0,2.6,10+,5,0,10,0,3-9,1.0,False
R10100000705282,51261178100182,ECOUTER VOIR,VYV3 SUD EST,Écouter Voir / mutualiste,1 Avenue DE PEZENAS,34140,34157,Mèze,Appareillage médical,2,2,0,ECOUTER VOIR,True,mutualiste,34157,Mèze,76 - Occitanie,12669.0,31.12,24180.0,3.0,43.444073030303024,3.56434393939394,0.0,76.71648096008333,2,11.0,38.0,83.0,0.0,10+,9,0,27,3,3-9,3.0,False
R10100000705287,51261178100232,ECOUTER VOIR,VYV3 SUD EST,Écouter Voir / mutualiste,Route DE VALRAS,34410,34299,Sérignan,Appareillage médical,1,1,0,ECOUTER VOIR,True,mutualiste,34299,Sérignan,76 - Occitanie,8588.0,34.32,23600.0,4.0,43.271497073170735,3.292323292682927,0.0,70.28167616721954,4,6.0,36.0,66.0,0.0,10+,6,0,27,4,3-9,2.0,False
R10100000705288,51261178100240,ECOUTER VOIR,VYV3 SUD EST,Écouter Voir / mutualiste,24 GRAND RUE,34360,34245,Saint-Chinian,Appareillage médical,1,1,0,ECOUTER VOIR,True,mutualiste,34245,Saint-Chinian,76 - Occitanie,1811.0,37.16,22520.0,1.0,43.42820176470588,2.932237647058823,0.0,31.27267925689169,1,0.0,4.0,33.0,16.9,10+,0,0,4,0,0,1.0,False
R10100000705296,51261178100570,ECOUTER VOIR,VYV3 SUD EST,Écouter Voir / mutualiste,58 Allee JOHN BOLAND,34500,34032,Béziers,Appareillage médical,1,1,0,ECOUTER VOIR,True,mutualiste,34032,Béziers,76 - Occitanie,81545.0,23.69,18390.0,18.0,43.35337441747572,3.233743737864077,0.0,82.90799916527529,16,19.0,38.0,68.0,0.0,10+,15,2,30,4,10+,12.0,False
R10100000705300,51261178100679,ECOUTER VOIR,VYV3 SUD EST,Écouter Voir / mutualiste,163 Avenue FRANKLIN ROOSEVELT,69500,69029,Bron,Appareillage médical,1,1,0,ECOUTER VOIR,True,mutualiste,69029,Bron,84 - Auvergne-Rhône-Alpes,42982.0,17.88,24530.0,17.0,45.73582037037037,4.912294444444445,0.0,123.90261979646178,9,161.0,239.0,287.0,0.0,10+,90,7,134,7,10+,6.0,False
R10100000705305,51261178100745,ECOUTER VOIR-CENTRE D AUDITION,VYV3 SUD EST,Écouter Voir / mutualiste,18 Rue MIRABEAU,83000,83137,Toulon,Appareillage médical,2,2,0,ECOUTER VOIR-CENTRE D AUDITION,True,mutualiste,83137,Toulon,93 - Provence-Alpes-Côte d'Azur,179116.0,23.54,23270.0,23.0,43.13001644927536,5.933206811594203,0.0,84.04747118732101,20,47.0,77.0,107.0,0.0,10+,32,2,46,2,10+,16.0,False
R10100000705309,51261178100802,ECOUTER VOIR-CENTRE AUDITION,VYV3 SUD EST,Écouter Voir / mutualiste,1 Rue JEAN AICARD,83400,83069,Hyères,Appareillage médical,1,1,0,ECOUTER VOIR-CENTRE AUDITION,True,mutualiste,83069,Hyères,93 - Provence-Alpes-Côte d'Azur,55858.0,30.84,25730.0,16.0,43.05584007874016,6.245199881889764,0.0,56.74284856725223,12,11.0,23.0,75.0,0.0,10+,9,0,13,0,3-9,6.0,False
R10100000705310,51261178100810,ECOUTER VOIR-CENTRE D AUDITION,VYV3 SUD EST,Écouter Voir / mutualiste,150 Cheminement DE LA CAPPELANE,83500,83126,La Seyne-sur-Mer,Appareillage médical,2,2,0,ECOUTER VOIR-CENTRE D AUDITION,True,mutualiste,83126,La Seyne-sur-Mer,93 - Provence-Alpes-Côte d'Azur,63732.0,26.39,23890.0,14.0,43.08697416666667,5.881610714285715,0.0,81.21900593211383,12,45.0,75.0,102.0,0.0,10+,30,1,46,2,10+,7.0,False
R10100000705321,51268316000018,OPTICAL CENTER,DESMONS AMIENS,Optical Center,1 Avenue DE L'ARC,80330,80489,Longueau,Appareillage médical,1,1,0,OPTICAL CENTER,True,enseigne nationale,80489,Longueau,32 - Hauts-de-France,5680.0,19.49,24150.0,2.0,49.872313142857145,2.357869714285714,0.0,95.1190815286495,2,25.0,31.0,42.0,0.0,10+,22,0,25,0,10+,1.0,False
R10100000705334,53513924000035,,GABET LECOCQ,Indépendant / autre,94 Rue GASTON BARATTE,59493,59009,Villeneuve-d'Ascq,Appareillage médical,1,0,1,GABET LECOCQ,True,indépendant,59009,Villeneuve-d'Ascq,32 - Hauts-de-France,62868.0,14.69,23900.0,12.0,50.63444026548672,3.1582894690265486,0.0,101.62549590956482,11,101.0,139.0,192.0,0.0,10+,71,0,94,0,10+,2.0,False
R10100000705338,53516774600010,,DONVAL AUDITION,Indépendant / autre,18 Boulevard DES ROCHERS,35500,35360,Vitré,Appareillage médical,1,1,0,DONVAL AUDITION,True,indépendant,35360,Vitré,53 - Bretagne,19365.0,22.58,26280.0,8.0,48.11265557692308,-1.1948997115384614,0.0,96.69245719741096,8,8.0,14.0,56.0,0.0,10+,8,0,14,0,3-9,5.0,False
R10100000705366,53741875800018,,PHARMACIE DE LA PYRAMIDE,Indépendant / autre,1 Rue DES JAVELLES,41200,41194,Romorantin-Lanthenay,Appareillage médical,1,0,1,PHARMACIE DE LA PYRAMIDE,True,indépendant,41194,Romorantin-Lanthenay,24 - Centre-Val de Loire,18373.0,26.58,23000.0,10.0,47.37804194174757,1.747295922330097,0.0,71.7362058304459,7,6.0,7.0,12.0,0.0,10+,5,0,6,0,3-9,1.0,False
R10100000705376,53755619300028,VERIN AUDITION,VERIN AUDITION,Indépendant / autre,2 Rue LOUIS PASTEUR,59400,59122,Cambrai,Appareillage médical,3,2,1,VERIN AUDITION,True,indépendant,59122,Cambrai,32 - Hauts-de-France,31134.0,24.49,21930.0,12.0,50.1752365625,3.237219166666667,0.0,52.63989742151932,8,8.0,18.0,70.0,0.0,10+,8,0,17,0,3-9,6.0,False
R10100000705377,53755619300036,,VERIN AUDITION,Indépendant / autre,6 Rue CASIMIR FOURNIER,59530,59481,Le Quesnoy,Appareillage médical,2,1,1,VERIN AUDITION,True,indépendant,59481,Le Quesnoy,32 - Hauts-de-France,4878.0,25.3,22010.0,5.0,50.25149084745763,3.626267288135593,0.0,72.90143821811576,4,3.0,41.0,73.0,0.0,10+,2,0,30,0,1-2,3.0,False
R10100000705378,53755619300051,VERIN AUDITION,VERIN AUDITION,Indépendant / autre,23 Place JEAN JAURES,59730,59571,Solesmes,Appareillage médical,2,1,1,VERIN AUDITION,True,indépendant,59571,Solesmes,32 - Hauts-de-France,4142.0,22.39,21470.0,2.0,50.17428273972602,3.511272328767124,0.0,60.16615440302196,1,6.0,30.0,61.0,9.0,10+,6,0,23,0,3-9,1.0,False
R10100000705379,53755619300069,VERIN AUDITION,VERIN AUDITION,Indépendant / autre,20 Place DU GENERAL DE GAULLE,59360,59136,Le Cateau-Cambrésis,Appareillage médical,1,1,0,VERIN AUDITION,True,indépendant,59136,Le Cateau-Cambrésis,32 - Hauts-de-France,6764.0,21.08,18770.0,3.0,50.090894329896905,3.5416881443298966,0.0,48.643078175286206,3,6.0,11.0,49.0,0.0,10+,6,0,9,0,3-9,1.0,False
R10100000705380,53755619300077,,VERIN AUDITION,Indépendant / autre,290 Rue DE VERDUN,59450,59569,Sin-le-Noble,Appareillage médical,2,1,1,VERIN AUDITION,True,indépendant,59569,Sin-le-Noble,32 - Hauts-de-France,16076.0,18.32,20760.0,3.0,50.36903111111111,3.117564629629629,0.0,75.5144645210677,2,18.0,55.0,176.0,0.0,10+,16,0,38,0,10+,1.0,False
R10100000705381,53755619300093,,VERIN AUDITION,Indépendant / autre,24 Rue DE LA REPUBLIQUE,02300,02173,Chauny,Appareillage médical,2,1,1,VERIN AUDITION,True,indépendant,02173,Chauny,32 - Hauts-de-France,11596.0,22.38,20410.0,5.0,49.616178615384605,3.219668923076924,0.0,89.5311231157899,3,6.0,11.0,45.0,0.0,10+,6,0,11,0,3-9,3.0,False
