rpps_structure_id,code_insee,code_insee_geo,commune,region,retail,type5,brand,owner_on_site,practitioners_topcoded_4,concurrents_10km,concurrents_20km,concurrents_30km,alternatives_10km,dist_concurrent_km,n_sites_commune,pop_10km,pop65_10km,demand65_per_site,apl_v21,entrant_commune,strate,poids,web_ok,prix_affiche,grille_tarifs,sante100,classe2,essai_gratuit,bilan_gratuit,rdv_en_ligne,devis,garantie_suivi
R10100000765648,24037,24037,Bergerac,75 - Nouvelle-Aquitaine,True,optician-hosted,Acuitis,1,1,14.0,15.0,21.0,14.0,0.0,13,49926,15356.054599999996,1023.736973333333,83.87728051682933,False,,,,,,,,,,,,
R10100000765653,31555,31555,Toulouse,76 - Occitanie,True,optician-hosted,Alain Afflelou Acousticien,0,2,97.0,144.0,180.0,66.0,0.0,49,767273,114026.7941,1163.5387153061226,132.0059200450152,False,10+ | enseigne nationale,3.7737909516380657,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
R10100000765660,35001,35001,Acigné,53 - Bretagne,True,integrated chain,Audition Santé (Sonova),1,1,19.0,76.0,105.0,15.0,5.0,1,84621,14852.64,742.632,110.1515156698613,False,10+ | enseigne nationale,3.7737909516380657,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
R10100000765883,43040,43040,Brioude,84 - Auvergne-Rhône-Alpes,True,optician-hosted,Optical Center,1,1,3.0,4.0,12.0,3.0,0.0,4,16804,4472.8363,1118.209075,57.36622150527672,False,,,,,,,,,,,,
R10100000765898,56260,56260,Vannes,53 - Bretagne,True,integrated chain,Audika,0,1,27.0,51.0,65.0,21.0,0.0,17,118750,30282.3108,1081.5111,117.28704738615475,False,,,,,,,,,,,,
R10100000765899,59378,59378,Marcq-en-Barœul,32 - Hauts-de-France,True,integrated chain,Audika,0,1,115.0,142.0,177.0,78.0,0.0,5,947399,142921.10580000002,1232.0784982758623,102.52259038487404,True,,,,,,,,,,,,
R10100000765901,29233,29233,Quimperlé,53 - Bretagne,True,integrated chain,Amplifon,0,2,6.0,34.0,51.0,5.0,0.0,4,55128,14484.0208,2069.1458285714284,75.89446179299553,False,,,,,,,,,,,,
R10100000765902,59367,59367,Lys-lez-Lannoy,32 - Hauts-de-France,True,integrated chain,Amplifon,0,1,59.0,133.0,155.0,47.0,0.0,4,509263,82351.1721,1372.519535,81.15533299979042,False,10+ | enseigne nationale,3.7737909516380657,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R10100000765908,40088,40088,Dax,75 - Nouvelle-Aquitaine,True,mutualist network,Écouter Voir / mutualiste,0,1,18.0,22.0,34.0,15.0,0.0,11,60854,16944.7423,891.8285421052633,80.25126002453823,False,,,,,,,,,,,,
R10100000765910,29189,29189,Plougastel-Daoulas,53 - Bretagne,True,unbranded independent,,1,3,4.0,30.0,44.0,4.0,5.5,1,51010,11145.9053,2229.18106,77.62398016808929,False,3-9 | indépendant,3.77511961722488,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
