site_id,domain,web_ok,site_page_ok,domain_ok,grille_tarifs,n_pages_domaine,prix_affiche,prix_affiche_page,sante100,sante100_page,classe2,classe2_page,essai_gratuit,essai_gratuit_page,bilan_gratuit,bilan_gratuit_page,rdv_en_ligne,rdv_en_ligne_page,devis,devis_page,garantie_suivi,garantie_suivi_page,tarifs_mot,tarifs_mot_page,marques,prix_min,n_chars_total
R10000004117381,sonance-audition.fr,1,1,1,0,3,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,37208
R10100000713428,auditionbribesherand.fr,1,1,1,0,2,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,24456
R10100000858716,audika.fr,1,1,1,1,3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1600.0,71313
R10000004110728,audilab.fr,1,1,1,0,3,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,32172
R10100000715373,audilab.fr,1,1,1,0,3,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,31903
R10100000720069,doctolib.fr,1,0,1,0,0,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,,0.0,,0.0,,1.0,,0.0,,60001
R10100000698092,magasins.ecoutervoir.fr,1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,6240
R10100000703399,opticien.optical-center.fr,1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,60271
R10100000712102,sonance-audition.fr,1,1,1,0,3,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,31242
R10100000704783,audio-solution.fr,1,1,1,0,1,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,,37169
R10000004106019,krys.com,1,1,1,1,3,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,,66004
R10100000701421,optique-vosgienne.com,1,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,21748
